Part	Date	Quantity
AC001	2013-05-01	23603
AC001	2013-06-03	23181
AC001	2013-07-01	30437
AC001	2013-08-01	26834
AC001	2013-09-02	26398
AC001	2013-10-01	32032
AC001	2013-11-01	27215
AC001	2013-12-02	32705
AC001	2014-01-01	28379
AC001	2014-02-03	26882
AC001	2014-03-03	32746
AC001	2014-04-01	28110
AC001	2014-05-01	27837
AC001	2014-06-01	29643
AC001	2014-07-02	30707
AC001	2014-08-02	28108
AC001	2014-09-02	27705
AC001	2014-10-03	29466
AC001	2014-11-03	30531
AC001	2014-12-04	27931
AC001	2015-01-04	27528
AC001	2015-02-04	29290
AC001	2015-03-07	30354
AC001	2015-04-01	27754
AC001	2015-05-02	27351
AC001	2015-06-02	29113
AC001	2015-07-03	30177
AC001	2015-08-03	27577
AC001	2015-09-03	27175
AC001	2015-10-04	28936
AC002	2013-05-01	21425
AC002	2013-06-03	21044
AC002	2013-07-01	27557
AC002	2013-08-01	24569
AC002	2013-09-02	24214
AC002	2013-10-01	29475
AC002	2013-11-01	25196
AC002	2013-12-02	30477
AC002	2014-01-01	26180
AC002	2014-02-03	24848
AC002	2014-03-03	30288
AC002	2014-04-01	26218
AC002	2014-05-01	25489
AC002	2014-06-01	27392
AC002	2014-07-02	28279
AC002	2014-08-02	25911
AC002	2014-09-02	25253
AC002	2014-10-03	27077
AC002	2014-11-03	27964
AC002	2014-12-04	25596
AC002	2015-01-04	24939
AC002	2015-02-04	26762
AC002	2015-03-07	27649
AC002	2015-04-01	25282
AC002	2015-05-02	24624
AC002	2015-06-02	26448
AC002	2015-07-03	27335
AC002	2015-08-03	24967
AC002	2015-09-03	24309
AC002	2015-10-04	26133
AC003	2013-05-01	15735
AC003	2013-06-03	16258
AC003	2013-07-01	19836
AC003	2013-08-01	16565
AC003	2013-09-02	16309
AC003	2013-10-01	20544
AC003	2013-11-01	17503
AC003	2013-12-02	20611
AC003	2014-01-01	17627
AC003	2014-02-03	17243
AC003	2014-03-03	20981
AC003	2014-04-01	17823
AC003	2014-05-01	17235
AC003	2014-06-01	18439
AC003	2014-07-02	20077
AC003	2014-08-02	18524
AC003	2014-09-02	17365
AC003	2014-10-03	18612
AC003	2014-11-03	20251
AC003	2014-12-04	18697
AC003	2015-01-04	17539
AC003	2015-02-04	18785
AC003	2015-03-07	20424
AC003	2015-04-01	18871
AC003	2015-05-02	17712
AC003	2015-06-02	18959
AC003	2015-07-03	20597
AC003	2015-08-03	19044
AC003	2015-09-03	17885
AC003	2015-10-04	19132
AC004	2013-05-01	7548
AC004	2013-06-03	7780
AC004	2013-07-01	9737
AC004	2013-08-01	7953
AC004	2013-09-02	7731
AC004	2013-10-01	9483
AC004	2013-11-01	8180
AC004	2013-12-02	9635
AC004	2014-01-01	8291
AC004	2014-02-03	7773
AC004	2014-03-03	9621
AC004	2014-04-01	7885
AC004	2014-05-01	7651
AC004	2014-06-01	7980
AC004	2014-07-02	8873
AC004	2014-08-02	8027
AC004	2014-09-02	7452
AC004	2014-10-03	7715
AC004	2014-11-03	8608
AC004	2014-12-04	7762
AC004	2015-01-04	7187
AC004	2015-02-04	7450
AC004	2015-03-07	8343
AC004	2015-04-01	7497
AC004	2015-05-02	6922
AC004	2015-06-02	7185
AC004	2015-07-03	8078
AC004	2015-08-03	7232
AC004	2015-09-03	6657
AC004	2015-10-04	6920
