Part	Date	Quantity
AC004	2013-05-01	7548
AC004	2013-06-03	7780
AC004	2013-07-01	9737
AC004	2013-08-01	7953
AC004	2013-09-02	7731
AC004	2013-10-01	9483
AC004	2013-11-01	8180
AC004	2013-12-02	9635
AC004	2014-01-01	8291
AC004	2014-02-03	7773
AC004	2014-03-03	9621
AC004	2014-04-01	7885
AC004	2014-05-01	7651
AC004	2014-06-01	7980
AC004	2014-07-02	8873
AC004	2014-08-02	8027
AC004	2014-09-02	7452
AC004	2014-10-03	7715
AC004	2014-11-03	8608
AC004	2014-12-04	7762
AC004	2015-01-04	7187
AC004	2015-02-04	7450
AC004	2015-03-07	8343
AC004	2015-04-01	7497
AC004	2015-05-02	6922
AC004	2015-06-02	7185
AC004	2015-07-03	8078
AC004	2015-08-03	7232
AC004	2015-09-03	6657
AC004	2015-10-04	6920
