Part	Date	Quantity
AC003	2013-05-01	15735
AC003	2013-06-03	16258
AC003	2013-07-01	19836
AC003	2013-08-01	16565
AC003	2013-09-02	16309
AC003	2013-10-01	20544
AC003	2013-11-01	17503
AC003	2013-12-02	20611
AC003	2014-01-01	17627
AC003	2014-02-03	17243
AC003	2014-03-03	20981
AC003	2014-04-01	17823
AC003	2014-05-01	17235
AC003	2014-06-01	18439
AC003	2014-07-02	20077
AC003	2014-08-02	18524
AC003	2014-09-02	17365
AC003	2014-10-03	18612
AC003	2014-11-03	20251
AC003	2014-12-04	18697
AC003	2015-01-04	17539
AC003	2015-02-04	18785
AC003	2015-03-07	20424
AC003	2015-04-01	18871
AC003	2015-05-02	17712
AC003	2015-06-02	18959
AC003	2015-07-03	20597
AC003	2015-08-03	19044
AC003	2015-09-03	17885
AC003	2015-10-04	19132
