Part	Date	Quantity
AC006	2013-05-01	40032
AC006	2013-06-03	40499
AC006	2013-07-01	49753
AC006	2013-08-01	41923
AC006	2013-09-02	40808
AC006	2013-10-01	50166
AC006	2013-11-01	43480
AC006	2013-12-02	51209
AC006	2014-01-01	43882
AC006	2014-02-03	42301
AC006	2014-03-03	51435
AC006	2014-04-01	44332
AC006	2014-05-01	42987
AC006	2014-06-01	45209
AC006	2014-07-02	49639
AC006	2014-08-02	46209
AC006	2014-09-02	43397
AC006	2014-10-03	45756
AC006	2014-11-03	50187
AC006	2014-12-04	46757
AC006	2015-01-04	43944
AC006	2015-02-04	46303
AC006	2015-03-07	50734
AC006	2015-04-01	47304
AC006	2015-05-02	44492
AC006	2015-06-02	46850
AC006	2015-07-03	51281
AC006	2015-08-03	47851
AC006	2015-09-03	45039
AC006	2015-10-04	47398
