Part	Date	Quantity
AC001	2013-05-01	23603
AC001	2013-06-03	23181
AC001	2013-07-01	30437
AC001	2013-08-01	26834
AC001	2013-09-02	26398
AC001	2013-10-01	32032
AC001	2013-11-01	27215
AC001	2013-12-02	32705
AC001	2014-01-01	28379
AC001	2014-02-03	26882
AC001	2014-03-03	32746
AC001	2014-04-01	28110
AC001	2014-05-01	27837
AC001	2014-06-01	29643
AC001	2014-07-02	30707
AC001	2014-08-02	28108
AC001	2014-09-02	27705
AC001	2014-10-03	29466
AC001	2014-11-03	30531
AC001	2014-12-04	27931
AC001	2015-01-04	27528
AC001	2015-02-04	29290
AC001	2015-03-07	30354
AC001	2015-04-01	27754
AC001	2015-05-02	27351
AC001	2015-06-02	29113
AC001	2015-07-03	30177
AC001	2015-08-03	27577
AC001	2015-09-03	27175
AC001	2015-10-04	28936
