Part	Date	Quantity
AC007	2013-05-01	50204
AC007	2013-06-03	52666
AC007	2013-07-01	64942
AC007	2013-08-01	54392
AC007	2013-09-02	54381
AC007	2013-10-01	68019
AC007	2013-11-01	58025
AC007	2013-12-02	68645
AC007	2014-01-01	58578
AC007	2014-02-03	57689
AC007	2014-03-03	71769
AC007	2014-04-01	60691
AC007	2014-05-01	58551
AC007	2014-06-01	62555
AC007	2014-07-02	68947
AC007	2014-08-02	63515
AC007	2014-09-02	59627
AC007	2014-10-03	63989
AC007	2014-11-03	70381
AC007	2014-12-04	64949
AC007	2015-01-04	61060
AC007	2015-02-04	65422
AC007	2015-03-07	71814
AC007	2015-04-01	66382
AC007	2015-05-02	62494
AC007	2015-06-02	66856
AC007	2015-07-03	73248
AC007	2015-08-03	67816
AC007	2015-09-03	63927
AC007	2015-10-04	68289
