Part	Date	Quantity
AC005	2013-05-01	4507
AC005	2013-06-03	4748
AC005	2013-07-01	5807
AC005	2013-08-01	4767
AC005	2013-09-02	4775
AC005	2013-10-01	6003
AC005	2013-11-01	5097
AC005	2013-12-02	5802
AC005	2014-01-01	4992
AC005	2014-02-03	4795
AC005	2014-03-03	5645
AC005	2014-04-01	4924
AC005	2014-05-01	4686
AC005	2014-06-01	5072
AC005	2014-07-02	5454
AC005	2014-08-02	5001
AC005	2014-09-02	4639
AC005	2014-10-03	5009
AC005	2014-11-03	5391
AC005	2014-12-04	4938
AC005	2015-01-04	4577
AC005	2015-02-04	4946
AC005	2015-03-07	5329
AC005	2015-04-01	4875
AC005	2015-05-02	4514
AC005	2015-06-02	4884
AC005	2015-07-03	5266
AC005	2015-08-03	4813
AC005	2015-09-03	4451
AC005	2015-10-04	4821
